verbnumber,verb,wordnet_synset,example_sentence,aspectual_class,semantic_class,Event_Structure_Type
1,abandon,abandon.v.01,We abandoned the old car in the empty parking lot,transition,COS,CHANGE_STATE
1,abandon,abandon.v.02,Abandon your life to God,transition,COS,CHANGE_STATE
1,abandon,vacate.v.02,You must vacate your office by tonight,transition,COS,CHANGE_STATE
1,abandon,abandon.v.04,He abandoned the thought of asking for her hand in marriage,transition,COS,CHANGE_STATE
1,abandon,abandon.v.05,The mother deserted her children,transition,COS,CHANGE_STATE
2,abdicate,abdicate.v.01,The King abdicated when he married a divorcee,transition,COS,CHANGE_STATE
3,abduct,kidnap.v.01,The industrialist's son was kidnapped,transition,COP,GET
3,abduct,abduct.v.02,this muscle abducts,transition,COS,CHANGE_STATE
4,abhor,abhor.v.01,I loathe that man,transition,COS,CHANGE_STATE
5,abolish,abolish.v.01,Slavery was abolished in the mid-19th century in America and in Russia,transition,COS,CHANGE_STATE
6,abound,abound.v.01,NONE,transition,COS,NONE
6,abound,abound.v.02,The room abounded with screaming children,transition,COS,CHANGE_STATE
7,absolve,shrive.v.01,The priest absolved him and told him to say ten Hail Mary's,transition,COS,CHANGE_STATE
7,absolve,absolve.v.02,I absolve you from this responsibility,transition,COS,CHANGE_STATE
8,abstain,abstain.v.01,NONE,transition,COS,NONE
8,abstain,abstain.v.02,I abstain from alcohol,transition,COS,CHANGE_STATE
9,accelerate,accelerate.v.01,The car accelerated,transition,COS,SCALAR_CHANGE
9,accelerate,accelerate.v.02,He accelerated the car,transition,COS,SCALAR_CHANGE
10,accept,accept.v.01,I cannot accept the dogma of this church,transition,COS,CHANGE_STATE
10,accept,accept.v.02,The only girl who would have him was the miller's daughter,transition,COS,POSITIVE_CAUSATION
10,accept,accept.v.03,I cannot accept your invitation,transition,COS,CHANGE_STATE
10,accept,accept.v.04,People did not accept atonal music at that time,transition,COS,CHANGE_STATE
10,accept,accept.v.05,accept students for graduate study,transition,COS,CHANGE_STATE
10,accept,bear.v.06,I'll accept the charges,transition,COS,CHANGE_STATE
10,accept,accept.v.07,I shall have to accept these unpleasant working conditions,transition,COS,CHANGE_STATE
10,accept,accept.v.08,This surface will not take the dye,transition,COS,CHANGE_STATE
10,accept,accept.v.09,NONE,transition,COS,CHANGE_STATE
10,accept,take.v.20,take a risk,transition,COS,CHANGE_STATE
10,accept,accept.v.11,The cow accepted the bull,transition,COS,CHANGE_STATE
11,accommodate,suit.v.01,This suits my needs,transition,COS,NONE
11,accommodate,adapt.v.01,Adapt our native cuisine to the available food resources of the new country,transition,COS,NONE
11,accommodate,accommodate.v.03,Can you accommodate me with a rental car?,transition,COS,CHANGE_STATE
11,accommodate,accommodate.v.04,This hotel can accommodate 250 guests,transition,COS,CHANGE_STATE
11,accommodate,lodge.v.04,We are lodging three foreign students this semester,transition,COS,NONE
11,accommodate,oblige.v.03,We had to oblige him,transition,COS,CHANGE_STATE
11,accommodate,accommodate.v.07,The scientists had to accommodate the new results with the existing theories,transition,COS,CHANGE_STATE
12,accompany,attach_to.v.01,French fries come with the hamburger,transition,COS,NONE
12,accompany,accompany.v.02,The nurse accompanied the old lady everywhere,process,process,PROCESS
12,accompany,play_along.v.02,The orchestra could barely follow the frequent pitch changes of the soprano,process,process,PROCESS
